,Tweet
0,DYK that 80% of all food producers in El Salvador are smallholder farmers with little knowledge of retail markets?… https://t.co/wA3IY6qhQV
1,@MuditSh13791339 @TruthWins476 @KanganaTeam No hard feelings for you brother ! Lol corona ke time mein bill pass ka… https://t.co/BShRdKrOS9
2,"@BJP4India getting message from the farmers @narendramodi
#FarmersProstests
#Farmers

#farmersrprotest
https://t.co/4DIToiRQJg"
3,Contempt against the U P Chief Minister or the government for abusing the farmers in protest. https://t.co/FyKGeaC8nV
4,"All anti national channels are showing  farmers protesting all over india ,but in reality no farmer is protesting i… https://t.co/raF651NwNT"
5,Bengal should not forget that it is the same @AmitShah who has continued to betray the farmers of the country with… https://t.co/wo2tyiBclX
6,NO FARMERS NO FOOD #FarmersProtest
7,"🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩 Well what would he have thought  about  the so called ""Farmers Movement "" , some vested interested  part… https://t.co/Y1aoAoNO51"
8,@narendramodi Then please listen to his heirs who are sitting in same Delhi where Guru Teg Bahadar Sahib sacrificed… https://t.co/YvVIpJbPxs
9,"Punjab farmers you rock.... We all should learn from these farmers what it is to fight for rights.

Praying for hea… https://t.co/rQntGUvpvj"
10,Bengal should not forget that it is the same @AmitShah who has continued to betray the farmers of the country with… https://t.co/shGKUHd4ao
11,@AdityaKansili @Nitinhin @KanganaTeam Look at their population too .. Jitna punjab &amp; haryana apni population k hisa… https://t.co/DZu5dY698P
12,@INCIndia PROTEST OF FARMERS IS SPONSORED BY PUNJAB STATE UNDER ITALIAN CONSPIRACY !
13,"We should respect farmers, farmers should respect constitution."
14,@sadhna_tweets Our farmers r already asking but he is not capable to reply them
15,"I had considered that everyone would guess that delegation to be 'Not farmers' at the least, because farmers can ne… https://t.co/6AU8VhB9Gy"
16,@Chattarpal99 If farmers have so much unity across Punjab then organise a Co-operative society across the state whi… https://t.co/jck9N7slu3
17,"According to data from the Virginia Department of Conservation and Recreation, the number of farmers who have commi… https://t.co/aaHuAGsc9i"
18,So true ! Support farmers Protest #FarmersDoneWithModiJumlas https://t.co/4Wtw5mxc7s
19,"@sidhu_gurpreet1 Shame on modi 
Farmers dying, modi enjoying
#FarmersDoneWithModiJumlas"
20,"last I checked there were some 9 rounds of talks. Govt. suggested some modification, those changes were rejected by… https://t.co/5jGv1KMurX"
21,@nanagpatekar where are you sir in these day? Are you not supporting farmers?I have seen lots of your videos regard… https://t.co/9WpU4fAHY8
22,@VipArsenal I think all arsenal players get exposed in the Prem when they aren’t playing farmers
23,@enthu78 @RoflGandhi_ @nstomar And plz..no need to look cool to your friends by saying...you are neutral...you are… https://t.co/cUGsDRSxx4
24,Your freebies are earned the sale of farmers produce isn't! https://t.co/RdzDaoqJMP
25,@Shameful Facebook!  Shame on Jio.  What right do you have to manipulate Social Media!  @FacebookWatch @… https://t.co/aaZGtmGHrD
26,"@invinciblewife @PunYaab @sukh_slatch Please read my tweets again ,i said multiple times and farmer leaders has als… https://t.co/7cYDRnuM4r"
27,"More than 5% of India's GDP spent on colonial perks and privileges of babus, judges and MP/MLAs

This includes pala… https://t.co/vVGBNEYqXf"
28,Amit Shah has lunch at Bengal farmer’s house - india news - https://t.co/SMh2VEXXUd
29,Whole farmers agitation is based on d foundation of lies n presumption.punjab farmers have highest income bcos of p… https://t.co/ElpkBDlU3Y
30,@narendramodi @nstomar Please take your bill back. If farmers don’t want that change. They are happy with previous… https://t.co/Sf4VfONO1R
31,"PL SEE HOW WE DIFFERENT TYPE CITIZEN BEING LOOTED BY #MODI GOVT..IT IS JUST EXAMPLE.THEY R SNATCHING UR INCOME, HOW… https://t.co/99Qbx1G45r"
32,"#Modi Govt targeting businessmen supporting farmers' movement: #BhagwantMann

https://t.co/C6sBcdw8D3"
33,@sandeep33654692 @Navneet95750984 @BhagwantBs @lkular001 @diljitdosanjh Yar ab yea kon se bla hai. Faltu kea questi… https://t.co/U3wAoidSVJ
34,"@news24tvchannel @gopalkagarwal @manakgupta A fact check of narendrmodi performance....... 

Corona @ 1 crore
Petro… https://t.co/IQVTFFwpDo"
35,@karanrajan @Biorahul @CodeNameProteus But we don’t always know what’s good for us. Not just farmers. We can still vote on that basis
36,"#JumlabazzShah
Bengal should not forget that it is the same @AmitShah who has continued to betray the farmers of th… https://t.co/ICTLEp3FQq"
37,@Kisanektamorcha Indian farmers want to repeal these Black farm bills but dumb government just busy in fooling peop… https://t.co/t6cRwUzJHj
38,Professor @pkspathi Ji addressing farmers live in their farms on @narendramodi Ji Govt's farm laws...well received… https://t.co/8FT2yWbuyL
39,@VodaIdea_NEWS @ASSOCHAM4India @rsprasad Excellent initiative and it was the need of the hour. Indian farmers need… https://t.co/LEqCz5bsl7
40,"@shehnazshines Right ♥️

SUPPORT FARMERS

Waheguru bless our famers🙏
#FarmersDoneWithModiJumlas"
41,"Save farmers Save food save future 
#FarmersDoneWithModiJumlas https://t.co/HnAix0aQ9W"
42,"The farmers don't want any freebies,that's a speciality of you all.The Govt claims its doing a favour to the farmer… https://t.co/jy83GWJtxU"
43,Really shameful that @PMOIndia Dancing on the tune of corporate and We all know about godi media &amp;   paid newspaper… https://t.co/2hQWG7Clw3
44,"Everyday these ""Icchadhari Farmers"" spread negativity and मनहूसियत by giving death threats to PM Modi. This shows h… https://t.co/Liy1CzxSLg"
45,"#No FARMERS 
#No FOOD
#NO FUTURE https://t.co/HKxV4B7mlp"
46,@Vinayst85 Je rahe apke BJP ke farmers https://t.co/XfQMJrhgXQ
47,@Rekha94466154 what they have done is exactly what is meant by farmers freedom to sell their product in the they wa… https://t.co/kiA9xHGIKT
48,Indian Farmers who are protesting in delhi against Indian Govt. for unfair Agricultural Bills released its own news… https://t.co/7ZrdvgJ4bl
49,@seculartweets @ranajig @rkmarar9 @DEBKANCHAN @RanjitOne @NavDosanjh4 @iraniShenaz1958 @priyapyadav18 @Puneetvizh… https://t.co/njDwWb7D5P
50,Israeli Settlers Attack Palestinian Farmers in Hebron - https://t.co/z8DBnHHaWn on @DaysofPalestine #Palestine https://t.co/kuzB2sv6sq
51,@Rajinde18949831 @rose_k01 Have u seen the kind of speeches given from there. Only praising Sikh valour and sacrifi… https://t.co/TnVr5eDYLg
52,"It's only intentions to defame
the movement of Indian farmers.Please stop it now,
some people tried to defame
popul… https://t.co/8fPeAOh050"
53,Adani puts out ad campaign to counter defamation in farmers agitation https://t.co/mXoz2pD92g
54,"Does kangana know anything beyond defaming farmers protest?

 Kangana ko jake bol bas kar kuch aur bhi kar le 😳🙏🏾 https://t.co/FARPWYSh9P"
55,@Shaiv52573899 @pcimharry17 @EducatedFarmers @Amarjit65627530 @AmanKayamHai_ET @ChouhanShivraj Omg I have no words.… https://t.co/dEhVjNbWli
56,"Tasty, organic vegetables from @rippleorganics At Farmers' Markets in Kent and London. Box scheme &amp; online.
#Kent… https://t.co/vZpK1qHVEb"
57,@sumanthraman Indeed it's a bribe they were crying about non settlement of GST refund if this is possible could hav… https://t.co/AEGbn5QUof
58,Hindu abuse continues unabated at the so called farmers rally https://t.co/YlFj2agC8h
59,@ndtv How??? Why didn't you made Indian Sonar India🇮🇳🇮🇳🇮🇳 we gave 6 years now  .. Why farmers suffering?? Girls gets raped..
60,@narendramodi If really cares about farmers please take your bill back
61,@Thememe51098934 @dhruv_rathee @Kisanektamorcha Pappu can not be able to understand his mother &amp; Indian politics so… https://t.co/PJRIPtGz5J
62,"Kangana. Let u get u take care one thing at a time. , ur ganna feel soo bad for urself. This is not mumbai film ind… https://t.co/S3y6wwbdzU"
63,"#DividerinChief #Modi trying to divide farmers on SYL. Not working 
#Farmers @BJP4India
#FarmersProstests
https://t.co/GZI1WGezSF"
64,@GabSutton @harrylee19891 @SpiritofEden @themaninblock11 @LucasBall2211 @RyanJamesLoftus Black people are treated e… https://t.co/zzzuPVZgI7
65,"Save farmers Save food save future 
#FarmersDoneWithModiJumlas https://t.co/DRn5J7aCsi"
66,"@Rita_Blogs Now some people will question 'how can a farmer read these books. They are not farmers"". BTW farmers ar… https://t.co/cYxnbOweK1"
67,"Didi do you know the reason why farmers are not protesting in U.P. 
#YogiAdityanath #AmitShahInBengal https://t.co/t1VOjqEIbE"
68,@narendramodi @nstomar Please take your bill back if you really loves farmers
69,@pure_silence @KanganaTeam Modi is not any MLA or CM ..he is the PM of india..So don’t expect him to go door to doo… https://t.co/K7sRLxWU4w
70,@RahulGandhi The upper caste will be unaffected by food prices going up. They do not care. The BJP IT cell smear is… https://t.co/S75GTVV4fR
71,Support farmers because their tomorrow depends on today #FarmersDoneWithModiJumlas https://t.co/KdEJ1jfaba
72,"@anshultrivedi47 @jatin_patel46 @Gagan52738209 @AdityaMenon22 Agreed, maybe face of protest r rich farmers, but thi… https://t.co/gsUQOT6qpG"
73,@KanganaTeam Demonteisation se corruption ka paisa wapas nai aaya. GST lagu karne ke baad state govt ko enough pais… https://t.co/jgSE8DxWkq
74,"@paranjoygt By seeing the belly of the left most guy, we can surely say, they are pakka farmers.... of bJP..."
75,"Smart sensors:
Sensors can scan an agricultural field from the sky via drones to detect dry patches and nutrient-de… https://t.co/T4IYBRHkrY"
76,"@narendramodi We don’t want your false kindness. You only think about the benefits of Abani and Adani, not about fa… https://t.co/lFA2wcZO0i"
77,@RKRadhakrishn What stops him from listening to farmers @ delhi borders??
78,@Biorahul @CodeNameProteus The farmers know what is good for them. That's why they choose to live in poverty and destitution.
79,#bankers @DFS_India @FinMinIndia @RBI @nsitharaman Good gift to farmers on Christmas but a day early would have giv… https://t.co/fYdqkhEp6j
80,"Farming is one thing that makes me  feel better. 
Farmers, we feeding the world https://t.co/F8Dp33bqJD"
81,"New farm laws will free the farmers, help increase their income
https://t.co/sdRThBpqna

via NaMo App https://t.co/EHPntVWjYG"
82,@pbhushan1 ...lots of vested interest playing around making things worse. Look at every politician in Anti Modi bri… https://t.co/gm8XZ5pTw6
83,"We know You are the True leader @narendramodi ji. 
The way you are working hard to reform Agriculture sector and Fa… https://t.co/ZlRdBOBc8q"
84,"Will bow my head in front of farmers, will discuss every issue, says PM Modi via @htTweets https://t.co/AMHrxpcjU6"
85,Support to all farmers https://t.co/UeN6mVbmr9
86,What’s he going to do we all know French can’t fight their tanks had I forward and 4 reverse gears and we blew the… https://t.co/36Vjvp7AEY
87,@CANDYMANCHENK Do you think Everton is a bunch of farmers from Norway or Ireland?
88,"The miracle is not that we do this work, but that we are happy to do it.

#FarmersBill
#FacebookJioAgainstFarmers… https://t.co/RJ79nwFq0V"
89,@MrinalPande1 @singhvivek73 Madam can you tell the same to the farmers protesting?
90,@capt_amarinder sir..what are u want??..simple question..U targeted modi for lathicharge to farmers and now in your… https://t.co/iZ19f7Ueea
91,"Wah Modiji Wah 👏👏

Yahan bhi TWIST IN THE TALE???
#AmitShahInBengal &amp; #ModiWithFarmers

😂😂😂

Lies of Godi media exp… https://t.co/ZfQvAvMu3z"
92,SUPPORT FARMERS https://t.co/gaXrln4vvh
93,"Just when I was so sure that there won't be any price increment this year again, they woke us up today with new pri… https://t.co/Xl6uBvf1Qa"
94,The citizens are the audience and the rich farmers from Punjab are performing the theatre of the absurd.
95,Modi urges farmers to talk it out https://t.co/6f88fzcISM
96,@harbhajan_singh Thank you  sir for supporting farmers
97,@Sandhu22310935 @Rammy31189994 @GautamGambhir @nstomar Anyhow tell me why farmers from Punjab don't want it?
98,@PMOIndia @narendramodi Mr. Prime Minister then pull back all 3 new laws that’s all Farmers requesting. You had don… https://t.co/xjCn4e9Qbq
99,@AmitShah is saying give 5 years and they make Golden Bengal. The same was said during the LS elections along with… https://t.co/rjlZwpeEQK
100,"@ksmkkbookscom @deepjh1 @kamalesh_Tyagi2 @RishabhRishu95 Totally agree.... So, in that case atleast GOI should conv… https://t.co/tHdAOW6eRR"
101,"ਸੇਵਾ ਜਾਰੀ ਹੈ ..... 🙏🏼🙏🏼

We support the farmers ... @khalsaaid_india https://t.co/bH0fn3NTog"
102,"@brexit_sham ""This is hurting their farmers more than us!"" cried Karen Brexiefarce, and bashed Doris over the head… https://t.co/GeaOuE13Uc"
103,@sarwan_shikha @bravosingh_ @sainira07123358 @KanganaTeam @diljitdosanjh Sana haters from Punjab already bashing he… https://t.co/IAVWY7jYkw
104,Farm laws have not been introduced overnight: PM Modi tells MP farmers https://t.co/YusFHOMZRd
105,Letter by @nstomar ji to farmers of India. https://t.co/tlVbHr9sv9
106,"Australia take the revenge of farmers 😂
#IndiaWithFarmers 
#FarmerBill2020 
#FarmersProstests 
#INDvsAUSTest… https://t.co/QFLicISrau"
107,@htTweets PROTEST OF FARMERS IS SPONSORED BY PUNJAB STATE UNDER ITALIAN CONSPIRACY !
108,‘You can keep all the credit’: PM Modi attacks opposition over farmers’ protests via @htTweets https://t.co/y031zpBLmV
109,"New farm laws will free the farmers, help increase their income
https://t.co/m5zol21azP

via NaMo App https://t.co/mBG7mOR9rs"
110,I Support IN FAVOUR OF FARMERS PROTEST. MURDER OF DEMOCRATIC INDIAN (MODI) GOVT SHOULD ACQUIRE SOME MORAL VALUES AN… https://t.co/USyM1GVH4Y
111,"@Chattarpal99 Farmers sud show their unity in the market price actions of agri products, the govt. will back up any… https://t.co/ttuOv6Fr58"
112,@KanganaTeam U must apologise to our farmers for ur bad words
113,@Sandhu22310935 @Rammy31189994 @GautamGambhir @nstomar There is no harm in this bill. I do care for the farmers and… https://t.co/a5oGLTCHOJ
114,@AmrtDhaliwal @gurmind61341972 @thelegalnovice @rahulkanwal @narendramodi I know you chamchas will divert all argum… https://t.co/BnI4ZoGxzu
115,"It’s neither Hindus vs Sikhs nor Sikhs vs India. It’s farmers vs new farm bill.
#FarmersProtest"
116,"@pbhushan1 Ok assuming this version is partially right, do you think those small farmers are not cheated and exploi… https://t.co/VUUE8glPaK"
117,"@CiaMurray9 @joco2014 @ForwomenScot ""Researcher"" or some such mince. You never see sparkies, plumbers, farmers, ret… https://t.co/eKM5EwJHED"
118,@ElleGrewal @TruthWins476 @KanganaTeam I am a political science student and I am well awared of this bill. Here we… https://t.co/5YV2qOtl3d
119,"Poor farmers write off their life.
The Government writes off the loans of Corporates like Adanis and Ambani's 
Poor… https://t.co/dcwrYTPBHS"
120,"I am a witness to the appeal made to the Punjab (there was no Haryana then) farmers by Pandit Nehru thru the CM,to… https://t.co/Ym5CPhQqo1"
121,Bengal should not forget that it is the same @AmitShah who has continued to betray the farmers of the country with… https://t.co/76jiORoJ3J
122,"Unimpeachable Truth and Fact is:
Modi is dead scared of Muslims...
Modi is scared of Christians...
Modi is scared o… https://t.co/JuW1JHA7Ya"
123,"This is why farmers are protesting
#ModiSellingFarmers https://t.co/WRmeKGCm7q"
